year,Category,month,N,population
2011,PROPERTY,1,3713,706201
2011,PROPERTY,2,2482,706201
2011,PROPERTY,3,3632,706201
2011,PROPERTY,4,3933,706201
2011,PROPERTY,5,4124,706201
2011,PROPERTY,6,4145,706201
2011,PROPERTY,7,4564,706201
2011,PROPERTY,8,4311,706201
2011,PROPERTY,9,4299,706201
2011,PROPERTY,10,4339,706201
2011,PROPERTY,11,4131,706201
2011,PROPERTY,12,4279,706201
2011,VIOLENT,4,1250,706201
2011,VIOLENT,5,1475,706201
2011,VIOLENT,6,1566,706201
2011,VIOLENT,7,1590,706201
2011,VIOLENT,8,1539,706201
2011,VIOLENT,9,1264,706201
2011,VIOLENT,10,1260,706201
2011,VIOLENT,11,1214,706201
2011,VIOLENT,12,1315,706201
2011,VIOLENT,1,1095,706201
2011,VIOLENT,2,846,706201
2011,VIOLENT,3,1158,706201
2012,PROPERTY,10,4398,701475
2012,PROPERTY,1,3751,701475
2012,PROPERTY,2,3159,701475
2012,PROPERTY,3,3457,701475
2012,PROPERTY,4,3682,701475
2012,PROPERTY,5,3980,701475
2012,PROPERTY,6,3908,701475
2012,PROPERTY,7,4122,701475
2012,PROPERTY,8,4056,701475
2012,PROPERTY,9,4165,701475
2012,VIOLENT,1,1076,701475
2012,PROPERTY,11,3837,701475
2012,PROPERTY,12,3737,701475
2012,VIOLENT,4,1271,701475
2012,VIOLENT,5,1423,701475
2012,VIOLENT,6,1413,701475
2012,VIOLENT,7,1632,701475
2012,VIOLENT,8,1544,701475
2012,VIOLENT,9,1294,701475
2012,VIOLENT,10,1303,701475
2012,VIOLENT,11,1218,701475
2012,VIOLENT,12,1162,701475
2012,VIOLENT,2,983,701475
2012,VIOLENT,3,1165,701475
2013,PROPERTY,10,3853,688701
2013,PROPERTY,11,3548,688701
2013,PROPERTY,1,3528,688701
2013,PROPERTY,2,2785,688701
2013,PROPERTY,3,3610,688701
2013,PROPERTY,4,3664,688701
2013,PROPERTY,5,4012,688701
2013,PROPERTY,6,3880,688701
2013,PROPERTY,7,4086,688701
2013,PROPERTY,8,3951,688701
2013,PROPERTY,9,3555,688701
2013,VIOLENT,1,1063,688701
2013,VIOLENT,2,868,688701
2013,PROPERTY,12,3271,688701
2013,VIOLENT,4,1061,688701
2013,VIOLENT,5,1406,688701
2013,VIOLENT,6,1485,688701
2013,VIOLENT,7,1435,688701
2013,VIOLENT,8,1562,688701
2013,VIOLENT,9,1398,688701
2013,VIOLENT,10,1251,688701
2013,VIOLENT,11,1057,688701
2013,VIOLENT,12,1052,688701
2013,VIOLENT,3,946,688701
2014,PROPERTY,10,3143,680250
2014,PROPERTY,11,2772,680250
2014,PROPERTY,12,3023,680250
2014,PROPERTY,1,2800,680250
2014,PROPERTY,2,2235,680250
2014,PROPERTY,3,2926,680250
2014,PROPERTY,4,3173,680250
2014,PROPERTY,5,3176,680250
2014,PROPERTY,6,3090,680250
2014,PROPERTY,7,3251,680250
2014,PROPERTY,8,3337,680250
2014,PROPERTY,9,3223,680250
2014,VIOLENT,1,923,680250
2014,VIOLENT,2,769,680250
2014,VIOLENT,3,961,680250
2014,VIOLENT,4,1091,680250
2014,VIOLENT,5,1281,680250
2014,VIOLENT,6,1257,680250
2014,VIOLENT,7,1375,680250
2014,VIOLENT,8,1466,680250
2014,VIOLENT,9,1302,680250
2014,VIOLENT,10,1256,680250
2014,VIOLENT,11,1029,680250
2014,VIOLENT,12,1077,680250
